condition,timepoint,c-Citrineperod,c-Citrineperodvar
"2% Glu,10 IPTG",1235.35,14139.40732,54147.9964
"2% Glu,10 IPTG",1245.998333,13961.42712,49639.68116
"2% Glu,10 IPTG",1256.6475,13943.53688,70048.46597
"2% Glu,10 IPTG",1267.296667,13855.62897,70428.82057
"2% Glu,10 IPTG",1277.946667,13914.61099,67701.61309
"2% Glu,10 IPTG",1288.595833,13904.89957,86310.88665
"2% Glu,10 IPTG",1299.245833,13822.56172,77166.31135
"2% Glu,10 IPTG",1309.895833,13735.52444,76521.60349
"2% Glu,10 IPTG",1320.545,13648.1344,77764.3966
"2% Glu,10 IPTG",1331.195,13494.48924,76104.81576
"2% Glu,10 IPTG",1341.843333,13420.87749,73931.0514
"2% Glu,10 IPTG",1352.493333,13399.30075,65005.9638
"2% Glu,10 IPTG",1363.143333,13285.02722,107488.0663
"2% Glu,10 IPTG",1373.791667,13210.90433,74226.39456
"2% Glu,10 IPTG",1384.441667,13214.80196,95777.57043
"2% Glu,10 IPTG",1395.100833,13170.70941,97151.74438
"2% Glu,10 IPTG",1405.740833,13176.46507,105383.7641
"2% Glu,100 IPTG",0,1355.762585,26727.99653
"2% Glu,100 IPTG",10.65916667,1282.727979,17509.09096
"2% Glu,100 IPTG",21.30833333,1574.164339,16443.8597
"2% Glu,100 IPTG",31.9575,2042.242274,6874.195571
"2% Glu,100 IPTG",42.60666667,2584.974381,16024.32034
"2% Glu,100 IPTG",53.25666667,3278.414246,13978.49627
"2% Glu,100 IPTG",63.90583333,4113.585213,17050.17354
"2% Glu,100 IPTG",74.55583333,4974.2276,24277.63167
"2% Glu,100 IPTG",85.205,5782.312529,20214.26982
"2% Glu,100 IPTG",95.85416667,6554.623366,18811.21857
"2% Glu,100 IPTG",106.5041667,7260.319813,27124.0217
"2% Glu,100 IPTG",117.1533333,7969.876553,47332.57159
"2% Glu,100 IPTG",127.8033333,8720.821092,38101.61481
"2% Glu,100 IPTG",138.4525,9458.183964,41580.50588
"2% Glu,100 IPTG",149.1016667,10224.16883,54920.11942
"2% Glu,100 IPTG",159.7516667,11099.55055,45782.95214
"2% Glu,100 IPTG",170.4008333,11967.36425,38161.66689
"2% Glu,100 IPTG",181.0508333,12861.76817,64637.98765
"2% Glu,100 IPTG",191.7,13806.65732,75577.16198
"2% Glu,100 IPTG",202.35,14929.03963,70221.66148
"2% Glu,100 IPTG",212.9983333,15990.48775,102858.5
"2% Glu,100 IPTG",223.6483333,17214.33233,130234.5098
"2% Glu,100 IPTG",234.2975,18356.34658,155296.8745
"2% Glu,100 IPTG",244.9466667,19479.58593,150126.733
"2% Glu,100 IPTG",255.5966667,20462.61448,180308.3185
"2% Glu,100 IPTG",266.2458333,21479.89042,172504.4368
"2% Glu,100 IPTG",276.8958333,22341.6025,130711.7978
"2% Glu,100 IPTG",287.545,23201.43402,103639.1616
"2% Glu,100 IPTG",298.195,24181.04682,407560.8112
"2% Glu,100 IPTG",308.8441667,25061.8894,382033.2442
"2% Glu,100 IPTG",319.4941667,25769.70111,517274.3236
"2% Glu,100 IPTG",330.1433333,26425.06914,555513.0914
"2% Glu,100 IPTG",340.7925,26908.76525,636998.2061
"2% Glu,100 IPTG",351.4425,27356.64202,627363.9668
"2% Glu,100 IPTG",362.0916667,27632.52483,678462.3993
"2% Glu,100 IPTG",372.7416667,27831.92328,674237.7056
"2% Glu,100 IPTG",383.3908333,28192.31161,607990.6078
"2% Glu,100 IPTG",394.0391667,28353.81142,682946.8228
"2% Glu,100 IPTG",404.6891667,28347.08649,647961.1773
"2% Glu,100 IPTG",415.3391667,28552.66188,670491.4753
